doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Prof. Dr. Md. Nur Hossain Bhuiyan,"MBBS, FCPS (Surgery), FMAS (India), FACS (USA), FRCS (UK)","General, Colorectal, Endo-Laparoscopic & Laser Surgeon",Dhaka Medical College & Hospital,"Specially Trained in Advanced Endo-Laparoscopy, Colorectal Surgery & Laser Proctology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Nur-Hossain-Bhuiyan-Shah.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-md-nur-hossain-bhuiyan/,,
Dr. Aminur Rahman Azad,"MBBS, MS (Neurosurgery)","Neurosurgery (Brain, Stroke, Spine Surgery) Specialist",Chittagong Medical College & Hospital,"Fellow Micro Neurosurgery (Japan), Fellow Endoscopy & Microscopy (Japan), Neurosurgery (Germany)",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Aminur-Rahman-Azad.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-aminur-rahman-azad/,,
Dr. Shantanu Biswas,"MBBS, BCS (Health), FCPS (Surgery)","Gastrointestinal, Hepatobiliary & Pancreatic Specialist Surgeon",National Gastroliver Institute & Hospital,"Consultant, Surgical Gastroenterology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Shantanu-Biswas.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-shantanu-biswas/,,
Dr. Sheikh Mohammad Murad,"MBBS, MCPS (EYE), Training (Phaco Surgery)",Eye Specialist & Phaco Surgeon,"Lions Charitable Eye Hospital, Chittagong","Consultant, Ophthalmology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Sheikh-Mohammad-Murad.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-sheikh-mohammad-murad/,,
Dr. SM. Mizanul Hoque,"MBBS, DCO, Training in Phaco Surgery",Eye Specialist & Phaco Surgeon,"Lions Charitable Eye Hospital, Chittagong","Consultant, Ophthalmology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-SM.-Mizanul-Hoque.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-sm-mizanul-hoque/,,
Prof. Dr. G. M. Zakir Hossain,"MBBS, FCPS (Surgery), FCPS (Urology), FRCS (Glassgow)",General & Urological Surgeon,Chittagong Medical College & Hospital,"Professor, Urology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-G.-M.-Zakir-Hossain.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-g-m-zakir-hossain/,,
Dr. Mohammed Rashed Mirjada,"MBBS, FCPS (Medicine)",Medicine Specialist,Chittagong Medical College & Hospital,"Associate Professor, Medicine",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Rashed-Mirjada.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammed-rashed-mirjada/,,
Dr. Mirza Nurul Karim,"MBBS, FCPS (Medicine)","Medicine, Diabetes, Rheumatology & Chest Disease Specialist",Chittagong Medical College & Hospital,"Assistant Professor, Department of Medicine",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mirza-Nurul-Karim.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mirza-nurul-karim/,,
Dr. Razuana Rahman,"MBBS (SSMC), DIRM (Germany), Fellowship IVF & Infertility (Germany), ADMU (USA)",Infertility & Reproductive Hormone Specialist,Sir Salimullah Medical College & Mitford Hospital,"Consultant, Infertility",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Razuana-Rahman.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-razuana-rahman/,,
Dr. S.M. Ishtiaque Ali Rubel,MBBS. FCPS (Surgery),"General, Laparoscopic. Colorectal. Breast & Trauma Surgeon",Rangamati Medical College & Hospital,"Assistant Professor, Surgery",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-S.M.-Ishtiaque-Ali-Rubel.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-s-m-ishtiaque-ali-rubel/,,
